        Rent    Space   House   Mort    Group   Side
Med     2	    60	    50	    30      0       1
Balt    4 	    60 	    50 	    30      0       1
Ori     6 	    100	    50	    50      1       1
Verm    8	    100	    50	    50      1       1
Conn    10	    100	    50	    50      1       1
Charl   12	    140     100     70      2       2
Stat    14      140     100     70      2       2
Virg    16      140     100     70      2       2
James   18      180     100     90      3       2
Tenn    20      180     100     90      3       2
York    22      180     100     90      3       2
Kent    24      220     150     110     4       3
Ind     26      220     150     110     4       3
Ill     28      220     150     110     4       3
Atl     30      260     150     130     5       3
Vent    32      260     150     130     5       3
Marv    34      260     150     130     5       3
Pac     36      300     200     150     6       4
North   38      300     200     150     6       4
Penn    40      300     200     150     6       4
Park    42      340     200     170     7       4
Board   44      340     200     170     7       4
